Date,BTCDRew,TotBTCs,TotBTCsAdj,StoF,StoFAdj,BTCPrice,ModPrice,ModPriceAdj
2009-01-02,7200.0,50.0,50.0,1.9025875190258754e-05,1.9025875190258754e-05,0.0,2.185224974240261e-17,2.185224974240261e-17
2009-01-03,7200.0,50.0,50.0,1.9025875190258754e-05,1.9025875190258754e-05,0.0,2.185224974240261e-17,2.185224974240261e-17
2009-01-04,7200.0,50.0,50.0,1.9025875190258754e-05,1.9025875190258754e-05,0.0,2.185224974240261e-17,2.185224974240261e-17
2009-01-05,7200.0,50.0,50.0,1.9025875190258754e-05,1.9025875190258754e-05,0.0,2.185224974240261e-17,2.185224974240261e-17
2009-01-06,7200.0,50.0,50.0,1.9025875190258754e-05,1.9025875190258754e-05,0.0,2.185224974240261e-17,2.185224974240261e-17
2009-01-07,7200.0,50.0,50.0,1.9025875190258754e-05,1.9025875190258754e-05,0.0,2.185224974240261e-17,2.185224974240261e-17
2009-01-08,7200.0,750.0,750.0,0.00028538812785388126,0.00028538812785388126,0.0,1.9550721341371317e-13,1.9550721341371317e-13
2009-01-09,7200.0,2300.0,2300.0,0.0008751902587519026,0.0008751902587519026,0.0,8.44038913442357e-12,8.44038913442357e-12
2009-01-10,7200.0,7600.0,7600.0,0.00289193302891933,0.00289193302891933,0.0,4.682638276431964e-10,4.682638276431964e-10
2009-01-11,7200.0,12050.0,12050.0,0.004585235920852359,0.004585235920852359,0.0,2.2032989035819486e-09,2.2032989035819486e-09
2009-01-12,7200.0,17800.0,17800.0,0.006773211567732116,0.006773211567732116,0.0,8.172748761450337e-09,8.172748761450337e-09
2009-01-13,7200.0,24100.0,24100.0,0.009170471841704718,0.009170471841704718,0.0,2.2622166983432197e-08,2.2622166983432197e-08
2009-01-14,7200.0,22050.0,22050.0,0.00839041095890411,0.00839041095890411,0.0,1.6780690054708975e-08,1.6780690054708975e-08
2009-01-15,7200.0,36250.0,36250.0,0.013793759512937594,0.013793759512937594,0.0,8.917268784712673e-08,8.917268784712673e-08
2009-01-16,7200.0,41650.0,41650.0,0.01584855403348554,0.01584855403348554,0.0,1.4218813570313549e-07,1.4218813570313549e-07
2009-01-17,7200.0,46700.0,46700.0,0.017770167427701673,0.017770167427701673,0.0,2.0886307104391522e-07,2.0886307104391522e-07
2009-01-18,7200.0,44050.0,44050.0,0.01676179604261796,0.01676179604261796,0.0,1.7163869646027392e-07,1.7163869646027392e-07
2009-01-19,7200.0,58450.0,58450.0,0.022241248097412483,0.022241248097412483,0.0,4.4396927202217175e-07,4.4396927202217175e-07
2009-01-20,7200.0,64100.0,64100.0,0.02439117199391172,0.02439117199391172,0.0,6.053407631044355e-07,6.053407631044355e-07
2009-01-21,7200.0,67850.0,67850.0,0.025818112633181126,0.025818112633181126,0.0,7.327645377488962e-07,7.327645377488962e-07
2009-01-22,7200.0,66050.0,66050.0,0.02513318112633181,0.02513318112633181,0.0,6.694676909758525e-07,6.694676909758525e-07
2009-01-23,7200.0,81150.0,81150.0,0.030878995433789955,0.030878995433789955,0.0,1.3371076757278623e-06,1.3371076757278623e-06
2009-01-24,7200.0,90850.0,90850.0,0.034570015220700155,0.034570015220700155,0.0,1.954018679434909e-06,1.954018679434909e-06
2009-01-25,7200.0,88050.0,88050.0,0.03350456621004566,0.03350456621004566,0.0,1.7589260921432792e-06,1.7589260921432792e-06
2009-01-26,7200.0,101800.0,101800.0,0.03873668188736682,0.03873668188736682,0.0,2.864108556896381e-06,2.864108556896381e-06
2009-01-27,7200.0,106950.0,106950.0,0.04069634703196347,0.04069634703196347,0.0,3.380682546249406e-06,3.380682546249406e-06
2009-01-28,7200.0,113050.0,113050.0,0.043017503805175036,0.043017503805175036,0.0,4.073296694395862e-06,4.073296694395862e-06
2009-01-29,7200.0,110050.0,110050.0,0.04187595129375951,0.04187595129375951,0.0,3.721341260803975e-06,3.721341260803975e-06
2009-01-30,7200.0,125550.0,125550.0,0.047773972602739724,0.047773972602739724,0.0,5.794034942410313e-06,5.794034942410313e-06
2009-01-31,7200.0,131350.0,131350.0,0.04998097412480974,0.04998097412480974,0.0,6.74344779688294e-06,6.74344779688294e-06
2009-02-01,7200.0,132150.0,132150.0,0.05028538812785388,0.05028538812785388,0.0,6.8824430020381735e-06,6.8824430020381735e-06
2009-02-02,7200.0,144500.0,144500.0,0.05498477929984779,0.05498477929984779,0.0,9.292079288615085e-06,9.292079288615085e-06
2009-02-03,7200.0,150650.0,150650.0,0.05732496194824962,0.05732496194824962,0.0,1.0688905504716639e-05,1.0688905504716639e-05
2009-02-04,7200.0,156700.0,156700.0,0.05962709284627093,0.05962709284627093,0.0,1.220081294492817e-05,1.220081294492817e-05
2009-02-05,7200.0,154150.0,154150.0,0.05865677321156773,0.05865677321156773,0.0,1.1546415945335266e-05,1.1546415945335266e-05
2009-02-06,7200.0,169450.0,169450.0,0.06447869101978691,0.06447869101978691,0.0,1.586852741823101e-05,1.586852741823101e-05
