Date,BTCPrice,BTCExchTrVol,BTCMyWallUsers,BTCMinRev,BTCHR,BTCCostPerTx,BTCCost%TxVol,BTCEstTxVolUSD,BTCEstTxVol,NoUnqBTCAddrs,BTCNoTxExclPopAddrs,BTCNoTxs,BTCTotTxFeesUSD,BTCTotTxFees,BTCMktCap,TotBTCs,BTCDaysDstyd,BTCDaysDstyd1y,BTCMinOpMgn
2009-01-02,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,50.0,,,
2009-01-03,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-2147483648.0
2009-01-04,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2009-01-05,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2009-01-06,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2009-01-07,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2009-01-08,0.0,0.0,2.0,0.0,6.95943774815e-07,0.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0
2009-01-09,0.0,0.0,2.0,0.0,6.95943774814815e-07,0.0,0.0,0.0,0.0,31.0,14.0,31.0,0.0,0.0,0.0,2300.0,0.0,0.0,-2147483648.0
2009-01-10,0.0,0.0,2.0,0.0,5.2692885807399995e-06,0.0,0.0,0.0,0.0,106.0,106.0,106.0,0.0,0.0,0.0,7600.0,0.0,0.0,-2147483648.0
2009-01-11,0.0,0.0,2.0,0.0,4.42421399704e-06,0.0,18541.6666667,0.0,24.0,93.0,95.0,95.0,0.0,0.0,0.0,12050.0,0.0,0.0,-2147483648.0
2009-01-12,0.0,0.0,2.0,0.0,4.42421399703704e-06,0.0,57500.0,0.0,10.0,117.0,101.0,116.0,0.0,0.0,0.0,17800.0,153.0,0.0,-2147483648.0
2009-01-13,0.0,0.0,2.0,0.0,6.26349397333e-06,0.0,0.0,0.0,0.0,126.0,126.0,126.0,0.0,0.0,0.0,24100.0,15.0,0.0,-2147483648.0
2009-01-14,0.0,0.0,2.0,0.0,6.31320424296e-06,0.0,1533.81642512,0.0,414.0,130.0,136.0,136.0,0.0,0.0,0.0,22050.0,0.0,0.0,-2147483648.0
2009-01-15,0.0,0.0,2.0,0.0,6.31320424296296e-06,0.0,5800.0,0.0,100.0,117.0,134.0,117.0,0.0,0.0,0.0,36250.0,750.0,0.0,-2147483648.0
2009-01-16,0.0,0.0,2.0,0.0,5.36870912e-06,0.0,5400.0,0.0,100.0,109.0,109.0,109.0,0.0,0.0,0.0,41650.0,164.0,0.0,-2147483648.0
2009-01-17,0.0,0.0,2.0,0.0,5.0207372325899995e-06,0.0,0.0,0.0,0.0,109.0,101.0,101.0,0.0,0.0,0.0,46700.0,243.0,0.0,-2147483648.0
2009-01-18,0.0,0.0,2.0,0.0,5.02073723259259e-06,0.0,3966.66666667,0.0,150.0,120.0,108.0,120.0,0.0,0.0,0.0,44050.0,0.0,0.0,-2147483648.0
2009-01-19,0.0,0.0,2.0,0.0,5.76639127704e-06,0.0,748.387096774,0.0,775.0,118.0,118.0,118.0,0.0,0.0,0.0,58450.0,335.0,0.0,-2147483648.0
2009-01-20,0.0,0.0,2.0,0.0,5.617260468149999e-06,0.0,1130.0,0.0,500.0,115.0,115.0,115.0,0.0,0.0,0.0,64100.0,3071.0,0.0,-2147483648.0
2009-01-21,0.0,0.0,2.0,0.0,5.61726046814815e-06,0.0,750.0,0.0,500.0,76.0,105.0,76.0,0.0,0.0,0.0,67850.0,1854.0,0.0,-2147483648.0
2009-01-22,0.0,0.0,2.0,0.0,3.3305880651900002e-06,0.0,2233.33333333,0.0,150.0,68.0,68.0,68.0,0.0,0.0,0.0,66050.0,1963.0,0.0,-2147483648.0
2009-01-23,0.0,0.0,2.0,0.0,9.892343656299999e-06,0.0,1243.75,0.0,800.0,86.0,201.0,86.0,0.0,0.0,0.0,81150.0,695.0,0.0,-2147483648.0
2009-01-24,0.0,0.0,2.0,0.0,9.8923436562963e-06,0.0,19400.0,0.0,50.0,195.0,202.0,195.0,0.0,0.0,0.0,90850.0,3294.0,0.0,-2147483648.0
2009-01-25,0.0,0.0,2.0,0.0,5.76639127704e-06,0.0,0.0,0.0,0.0,116.0,116.0,116.0,0.0,0.0,0.0,88050.0,88.0,0.0,-2147483648.0
2009-01-26,0.0,0.0,2.0,0.0,5.120157771849999e-06,0.0,447.826086957,0.0,1150.0,97.0,105.0,97.0,0.0,0.0,0.0,101800.0,0.0,0.0,-2147483648.0
2009-01-27,0.0,0.0,2.0,0.0,5.12015777185185e-06,0.0,0.0,0.0,0.0,103.0,98.0,103.0,0.0,0.0,0.0,106950.0,3328.0,0.0,-2147483648.0
2009-01-28,0.0,0.0,2.0,0.0,6.06465289481e-06,0.0,0.0,0.0,0.0,122.0,122.0,122.0,0.0,0.0,0.0,113050.0,0.0,0.0,-2147483648.0
2009-01-29,0.0,0.0,2.0,0.0,6.014942625189999e-06,0.0,1008.33333333,0.0,600.0,122.0,122.0,122.0,0.0,0.0,0.0,110050.0,0.0,0.0,-2147483648.0
2009-01-30,0.0,0.0,2.0,0.0,6.01494262518519e-06,0.0,0.0,0.0,0.0,129.0,117.0,129.0,0.0,0.0,0.0,125550.0,1492.0,0.0,-2147483648.0
2009-01-31,0.0,0.0,2.0,0.0,5.76639127704e-06,0.0,527.272727273,0.0,1100.0,118.0,118.0,118.0,0.0,0.0,0.0,131350.0,0.0,0.0,-2147483648.0
2009-02-01,0.0,0.0,2.0,0.0,6.31320424296e-06,0.0,0.0,0.0,0.0,114.0,127.0,114.0,0.0,0.0,0.0,132150.0,12416.0,0.0,-2147483648.0
2009-02-02,0.0,0.0,2.0,0.0,6.31320424296296e-06,0.0,5911.18449639,0.0,115.0,145.0,129.0,150.0,0.0,2.01,0.0,144500.0,0.0,0.0,-2147483648.0
